plant_name,plant_type,pot_or_ground,soil_type,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,plant_age_weeks,sunlight_exposure,last_watered_days,temperature,humidity,rainfall,season,watering_status
Basil,Indoor,Pot,Loamy,7.1,78,57,39,63,Partial Sun,3,37.2,62,11.7,Winter,0
Basil,Indoor,Ground,Loamy,7.6,75,47,54,24,Partial Sun,4,15.7,64,9.1,Summer,0
Peace Lily,Indoor,Ground,Loamy,7.8,76,60,43,64,Low Light,2,35.0,59,9.2,Autumn,0
Basil,Indoor,Ground,Loamy,7.9,65,55,37,15,Partial Sun,7,27.5,36,5.0,Winter,1
Peace Lily,Indoor,Pot,Loamy,7.5,41,39,47,48,Low Light,7,28.8,89,15.3,Summer,0
Peace Lily,Indoor,Ground,Loamy,6.6,78,54,33,23,Low Light,6,19.8,47,8.8,Winter,0
Aloe Vera,Outdoor,Pot,Sandy,6.9,33,29,15,41,Full Sun,5,28.1,87,6.5,Summer,0
Mint,Outdoor,Pot,Loamy,7.1,59,45,60,13,Partial Sun,7,27.8,30,11.0,Autumn,0
Cactus,Outdoor,Pot,Sandy,7.9,32,16,22,37,Full Sun,4,30.0,78,11.7,Spring,0
Tomato,Outdoor,Ground,Loamy,6.3,80,54,40,42,Full Sun,5,30.2,55,5.3,Spring,0
Snake Plant,Indoor,Pot,Loamy,7.6,45,54,39,101,Low Light,2,25.5,57,17.8,Winter,0
Spider Plant,Indoor,Ground,Loamy,7.8,66,47,30,59,Indirect Light,1,31.8,38,17.5,Monsoon,0
Peace Lily,Indoor,Pot,Loamy,8.0,52,39,31,67,Low Light,7,17.3,86,12.7,Summer,0
Basil,Indoor,Ground,Loamy,6.8,41,37,41,11,Partial Sun,7,32.0,77,2.5,Autumn,0
Spider Plant,Indoor,Ground,Loamy,5.8,49,36,36,78,Indirect Light,3,36.3,67,17.1,Winter,0
Cactus,Outdoor,Ground,Sandy,5.9,20,10,22,86,Full Sun,3,20.4,54,18.4,Spring,0
